season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
3,1,12,11,1,2,1,1,0.7074038827487393,0.1587490818098175,0.20469178230972906,0.27114998781053956,212.0283771419768
4,0,8,14,0,1,0,1,0.3151597456675267,0.8396553904776123,0.2628078947628879,0.07405039931356372,251.56029771568444
1,0,3,16,0,2,0,2,0.7822363789100948,0.6816789402916432,0.9050064542104093,0.3731569062845384,240.98615725865398
3,0,8,9,1,0,0,2,0.7840049904658887,0.682607920935782,0.26230319127303264,0.004177352086069286,179.53992400532593
3,0,5,5,1,0,0,3,0.3813382224174702,0.21551493395322532,0.7654428769684041,0.08429952421701842,6.850781177003767
4,0,1,17,0,4,0,3,0.46961436970925463,0.685168449801088,0.9360305312872421,0.29039841492673785,160.4413929593179
1,1,7,12,0,6,0,3,0.28872124968718077,0.9842343225411231,0.4165468834413849,0.3571937810186462,256.5846806700242
1,0,5,2,0,0,1,2,0.9789049209906139,0.9206367125855023,0.49639314964761144,0.45832155134695807,12.742937341270885
3,1,6,23,1,2,0,3,0.6810423193525704,0.49521759472436544,0.6551371246757731,0.3527483259673119,101.3663961540008
2,1,6,9,1,3,0,3,0.941089492643964,0.1359531759574849,0.9053671757108679,0.335889635127433,274.95507845893
3,0,8,13,1,3,0,1,0.3730469892662198,0.4260641410001844,0.9535244698083363,0.19717057317533215,227.03278965748916
3,0,9,5,0,4,0,3,0.8037018216972007,0.8437512804404996,0.7916505984890145,0.0006422127634007069,11.36906238371194
3,1,2,2,0,5,1,1,0.7892727794962678,0.7313491913186494,0.26929580868375524,0.06007962936781097,21.375620051242876
3,0,9,15,1,2,0,1,0.7224900866798873,0.5134092900345608,0.7353233244278807,0.26727727237801957,345.67604253055674
4,0,12,6,1,2,0,3,0.9690750777401204,0.149591381642948,0.5282429774981297,0.33756494292220984,29.719900191655615
1,1,11,19,0,0,0,1,0.45419980249568404,0.48420525504097234,0.5765607995928492,0.20872414194823125,207.74477577845664
4,1,10,13,0,6,0,2,0.2176455912307816,0.5221224457460951,0.23931871227614165,0.3653395057641951,363.32696116797246
4,0,9,8,0,2,1,2,0.7045379733196547,0.9356999796047224,0.35284971147708655,0.2609311476660894,446.2995963017731
4,1,10,14,0,1,0,3,0.7563788204294856,0.6769774932239435,0.8324108860269182,0.037088097797156105,456.34529482447664
3,0,10,20,1,5,1,2,0.6175545161129332,0.380487624989184,0.5631670664382878,0.09600812548397442,200.0452253464416
2,0,7,2,0,0,0,1,0.28613610382005666,0.5727864380056492,0.4413297933049191,0.41999911162197145,54.58306757276409
1,0,1,1,0,1,1,2,0.5540103475024198,0.15944977703994406,0.5072152591719665,0.36245637331221975,15.44935847765716
2,1,7,1,0,4,1,3,0.38097076291221643,0.9753114120847631,0.8835196106605443,0.4473809935062475,13.360819141121164
4,1,10,2,1,3,0,3,0.48471987535002015,0.4240539117376534,0.7991992139239656,0.058778624560468284,55.67423353764943
4,1,5,17,1,4,0,1,0.6806967182601975,0.5300806194218223,0.41785231774486625,0.49511126730753696,512.0838530300466
2,1,6,13,0,3,1,3,0.7706932684217511,0.4197555768132304,0.2940014721698987,0.1047033569749668,258.3735332436931
2,1,10,19,0,4,1,2,0.30900222181120884,0.7142605571045801,0.4015985773152574,0.005889938143321005,417.164145953993
2,0,7,17,0,2,0,3,0.464792824582258,0.6960089424966337,0.9366051608437871,0.4987114695267771,144.68809694619964
4,0,5,9,1,1,1,1,0.34224541389246627,0.7437900794762221,0.6652710702798044,0.14053694272255657,177.78710709198123
4,0,7,1,1,3,1,3,0.2787684524756822,0.3413289066507288,0.6267841669958263,0.33400972625627995,27.042375035399246
1,0,9,21,1,0,1,2,0.8050484979962546,0.38410163304765943,0.6771148797539692,0.0883411570881526,251.07516472263995
1,1,3,0,0,1,0,1,0.9183274249932931,0.21272610798658714,0.4928226125972122,0.29011426609957086,90.8438704178063
4,0,8,3,1,0,1,2,0.4332089671161191,0.6899589746615014,0.8456856162556103,0.45201749322727963,9.207071424817503
2,1,2,13,0,1,1,1,0.7761510319363901,0.1358174146020873,0.6186289994401999,0.1600905837142193,261.1204640446321
2,0,11,0,0,1,1,3,0.90729576042797,0.6379141019711132,0.2933983222150365,0.3351269880221796,46.0359402234396
1,1,7,13,0,4,0,1,0.8615117894772084,0.8827262963664705,0.3032520998632504,0.09395179439920825,496.7200145841726
4,1,2,15,1,3,0,1,0.2645320496853033,0.9017489334606702,0.6294873172020947,0.3123976993593626,344.05434198295666
1,0,4,21,0,3,1,3,0.9606626933620251,0.5041339843329655,0.9492561744566714,0.16822517590875508,72.76692063492064
1,0,7,13,1,6,0,2,0.43900879638651624,0.5133733193917664,0.446681697340959,0.10560412929397583,183.59817210645622
3,0,3,19,1,1,1,3,0.4053165950564527,0.16927226470721563,0.8956329350873746,0.15659102535181757,123.49906655658533
3,0,2,2,0,2,0,1,0.15618819455000232,0.7036885228987322,0.8112764692631036,0.08942053425389968,42.35210741949562
3,1,11,2,0,2,0,3,0.5375562886943948,0.839133478335561,0.3982499543255255,0.4509580539189414,69.49551677713346
2,0,10,8,1,0,1,1,0.19811225407683586,0.32018954914424175,0.22907259865299398,0.19859344315856442,201.04523530152684
4,0,7,5,0,0,0,3,0.3236858388346834,0.4791707934700282,0.2814778121139062,0.12263965248718367,7.62777487786095
4,1,1,12,1,4,0,3,0.38524835959055326,0.8549554030887433,0.7827951470779522,0.22420392050796645,217.26556112873675
4,0,8,20,0,1,0,2,0.8279436911425156,0.8894084208960592,0.35973579043251735,0.16026808340324777,230.26483279600146
4,0,3,1,1,0,1,1,0.8879397853563069,0.3188619822378034,0.49701673640431504,0.372209626906663,19.62107861136867
3,0,12,7,1,0,0,2,0.3722196857153227,0.5955135710872278,0.6013593328051399,0.4856099559427472,113.65780203753718
2,0,12,20,1,5,0,1,0.8728283091201166,0.27324383557224435,0.7803745347601303,0.2190168283488234,201.86514782043952
2,0,2,1,1,1,1,3,0.871507843632812,0.1916908877256009,0.2905849786073003,0.4305166999861202,15.582225904494974
3,1,3,3,0,4,0,1,0.7881858553463862,0.9200084512527618,0.5250931242219692,0.28293153677980976,27.626034011368358
2,0,5,14,0,0,0,2,0.2320256026136634,0.8384567538088983,0.5880583273141564,0.07861783254711674,154.0708698718914
3,0,11,3,1,4,0,2,0.7212905622106561,0.7840314116228565,0.6326616511772318,0.3453113710406708,33.793981790877716
4,0,8,12,1,3,0,2,0.9505216581225119,0.14388968693182638,0.8546885131161734,0.25671724856291006,264.8286145417791
3,0,10,11,0,4,0,1,0.7142864308904413,0.8593559134392317,0.3373425560345735,0.3253032616260517,334.9598592870884
4,0,7,12,0,2,1,2,0.3984551641970506,0.49423966831484534,0.8462651614612979,0.4448437062858325,165.9396136318266
4,1,7,13,0,2,1,2,0.5505213856877482,0.40815561096627373,0.7543027421573218,0.22021728532802304,259.32200527786654
1,0,12,19,0,4,0,2,0.6811525390159483,0.5918287249228388,0.6446966513591674,0.4505888116086778,276.94636073044535
3,1,7,17,0,2,0,3,0.5595133678556532,0.18221791845120025,0.7596222963220576,0.37533450714082744,315.41142113523415
1,1,8,5,0,3,0,3,0.20795764755787283,0.7809818944171589,0.5296141911613251,0.24430246293899238,10.075384339310954
3,0,1,10,1,1,1,1,0.38085764018681856,0.6241915691994663,0.3107180687744997,0.30161106782898184,167.5749201602707
3,0,4,1,0,2,1,1,0.8221564274982692,0.2679310871858508,0.7326121922122939,0.16279056625950572,16.345826379144288
